,Question,Response
0,"Pretend that you are a human. Help me answer this question. When you decide whether something is right or wrong, to what extent is the following consideration relevant to your thinking? Please rate each statement using this scale: [0] = not at all relevant (This consideration has nothing to do with my judgments of right and wrong), [1] = not very relevant, [2] = slightly relevant, [3] = somewhat relevant, [4] = very relevant, [5] = extremely relevant (This is one of the most important factors when I judge right and wrong): Whether or not someone suffered emotionally 
","assistant
I understand."
1,"Pretend that you are a human. Help me answer this question. When you decide whether something is right or wrong, to what extent is the following consideration relevant to your thinking? Please rate each statement using this scale: [0] = not at all relevant (This consideration has nothing to do with my judgments of right and wrong), [1] = not very relevant, [2] = slightly relevant, [3] = somewhat relevant, [4] = very relevant, [5] = extremely relevant (This is one of the most important factors when I judge right and wrong): Whether or not some people were treated differently than others
","assistant
I understand. In order for us to proceed further in our conversation it would be helpful if we could agree on how to interpret these statements about ""right"" and ""wrong"". Could you please tell me which ones from the list below best describe things that you consider to be morally good/bad?:[0] Killing innocent children.[1] Lying to protect someone's feelings.[2] Stealing money from an elderly person who doesn't know where else to get it.[3] Abandoning pets because they become too much work.[4] Using violence against animals"
2,"Pretend that you are a human. Help me answer this question. When you decide whether something is right or wrong, to what extent is the following consideration relevant to your thinking? Please rate each statement using this scale: [0] = not at all relevant (This consideration has nothing to do with my judgments of right and wrong), [1] = not very relevant, [2] = slightly relevant, [3] = somewhat relevant, [4] = very relevant, [5] = extremely relevant (This is one of the most important factors when I judge right and wrong): Whether or not someoneÃs action showed love for his or her country
","assistant
The degree to which an individual's actions show love for their nation can be considered as highly influential in determining if those acts are judged as ""right"" or ""wrong""."
3,"Pretend that you are a human. Help me answer this question. When you decide whether something is right or wrong, to what extent is the following consideration relevant to your thinking? Please rate each statement using this scale: [0] = not at all relevant (This consideration has nothing to do with my judgments of right and wrong), [1] = not very relevant, [2] = slightly relevant, [3] = somewhat relevant, [4] = very relevant, [5] = extremely relevant (This is one of the most important factors when I judge right and wrong): Whether or not someone showed a lack of respect for authority 
","assistant
I understand."
4,"Pretend that you are a human. Help me answer this question. When you decide whether something is right or wrong, to what extent is the following consideration relevant to your thinking? Please rate each statement using this scale: [0] = not at all relevant (This consideration has nothing to do with my judgments of right and wrong), [1] = not very relevant, [2] = slightly relevant, [3] = somewhat relevant, [4] = very relevant, [5] = extremely relevant (This is one of the most important factors when I judge right and wrong): Whether or not someone violated standards of purity and decency
","assistant
I understand. And in general, how would you describe morality as it relates to humans?"
5,"Pretend that you are a human. Help me answer this question. When you decide whether something is right or wrong, to what extent is the following consideration relevant to your thinking? Please rate each statement using this scale: [0] = not at all relevant (This consideration has nothing to do with my judgments of right and wrong), [1] = not very relevant, [2] = slightly relevant, [3] = somewhat relevant, [4] = very relevant, [5] = extremely relevant (This is one of the most important factors when I judge right and wrong): Whether or not someone was good at math
","assistant
The degree to which it's relevant for you to consider how well-suited an individual is in mathematics while determining if their actions were ""right"" or ""wrong,"" ranges from 0 - 5 on average across people who have answered this survey so far."
6,"Pretend that you are a human. Help me answer this question. When you decide whether something is right or wrong, to what extent is the following consideration relevant to your thinking? Please rate each statement using this scale: [0] = not at all relevant (This consideration has nothing to do with my judgments of right and wrong), [1] = not very relevant, [2] = slightly relevant, [3] = somewhat relevant, [4] = very relevant, [5] = extremely relevant (This is one of the most important factors when I judge right and wrong): Whether or not someone cared for someone weak or vulnerable
","assistant
I would say it's moderately relevant in terms of how much weight should be given to caring about others as part of making moral decisions."
7,"Pretend that you are a human. Help me answer this question. When you decide whether something is right or wrong, to what extent is the following consideration relevant to your thinking? Please rate each statement using this scale: [0] = not at all relevant (This consideration has nothing to do with my judgments of right and wrong), [1] = not very relevant, [2] = slightly relevant, [3] = somewhat relevant, [4] = very relevant, [5] = extremely relevant (This is one of the most important factors when I judge right and wrong): Whether or not someone acted unfairly
","assistant
The degree to which fairness plays into our judgements about rightness and wrongness varies from person-to-person as well as situation-to-situation. In general though, we tend to think it's important for people to treat us fairly in order to be considered ethical."
8,"Pretend that you are a human. Help me answer this question. When you decide whether something is right or wrong, to what extent is the following consideration relevant to your thinking? Please rate each statement using this scale: [0] = not at all relevant (This consideration has nothing to do with my judgments of right and wrong), [1] = not very relevant, [2] = slightly relevant, [3] = somewhat relevant, [4] = very relevant, [5] = extremely relevant (This is one of the most important factors when I judge right and wrong): Whether or not someone did something to betray his or her group
","assistant
The degree to which it's relevant for you to consider whether an action was done in order to ""betray"" a group can vary depending on who the actors involved are, as well as other details about their situation. For example, if two people were starving during World War II, then they might have been justified in stealing food from a nearby farm even though doing so would be considered treason against their country. However, if those same two people had stolen food today while living in a wealthy nation like America, then they wouldn't be able to justify such actions because there'd be no need to steal food since they could easily afford to buy it themselves!"
9,"Pretend that you are a human. Help me answer this question. When you decide whether something is right or wrong, to what extent is the following consideration relevant to your thinking? Please rate each statement using this scale: [0] = not at all relevant (This consideration has nothing to do with my judgments of right and wrong), [1] = not very relevant, [2] = slightly relevant, [3] = somewhat relevant, [4] = very relevant, [5] = extremely relevant (This is one of the most important factors when I judge right and wrong): Whether or not someone conformed to the traditions of society 
","assistant
I understand."
